county,sub_name,item,season,yield
MOMBASA,CHANGAMWE,Maize,Long Rains,1.214774166
MOMBASA,JOMVU,Maize,Long Rains,1.86234795
MOMBASA,KISAUNI,Maize,Short Rains,3.334722362
MOMBASA,LIKONI,Maize,Short Rains,2.41929316
MOMBASA,MVITA,Maize,Long Rains,1.117335537
MOMBASA,NYALI,Maize,Long Rains,0.957993788
MOMBASA,CHANGAMWE,Maize,Long Rains,1.214774166
MOMBASA,JOMVU,Maize,Long Rains,1.86234795
MOMBASA,KISAUNI,Maize,Long Rains,3.334722362
MOMBASA,LIKONI,Maize,Long Rains,2.41929316
MOMBASA,MVITA,Maize,Long Rains,1.117335537
MOMBASA,NYALI,Maize,Short Rains,0.957993788
KWALE,KINANGO,Maize,Short Rains,25.98889582
KWALE,LUNGALUNGA,Maize,Short Rains,12.1261842
KWALE,MATUGA,Maize,Short Rains,14.7475227
KWALE,MSAMBWENI,Maize,Short Rains,6.5789937
KWALE,SAMBURU,Maize,Short Rains,18.192457
KILIFI,CHONYI,Maize,Long Rains,8.21511149
KILIFI,GANZE,Maize,Long Rains,14.562424
KILIFI,KALOLENI,Maize,Long Rains,27.4712831
KILIFI,KAUMA,Maize,Long Rains,16.8283371
KILIFI,KILIFI NORTH,Maize,Long Rains,14.9694424
KILIFI,KILIFI SOUTH,Maize,Long Rains,9.85377496
KILIFI,MAGARINI,Maize,Long Rains,1.547415
KILIFI,MALINDI,Maize,Long Rains,3.57129455
KILIFI,RABAI,Maize,Long Rains,24.934469
TANA.RIVER,TANA DELTA,Maize,Long Rains,2.5647276
TANA.RIVER,TANA NORTH,Maize,Short Rains,0.889437848
TANA.RIVER,TANA RIVER,Maize,Short Rains,0.999389863
LAMU,LAMU EAST,Maize,Short Rains,9.395735599
LAMU,LAMU WEST,Maize,Short Rains,4.582529168
LAMU,TAITA TAVETA,Maize,Long Rains,2.1234812
LAMU,MWATATE,Maize,Long Rains,5.9588768
LAMU,TAITA,Maize,Long Rains,3.39721774
LAMU,TAVETA,Maize,Long Rains,0.939698186
LAMU,VOI,Maize,Long Rains,5.66723334
GARISSA,BALAMBALA,Maize,Short Rains,0.6215113
GARISSA,DADAAB,Maize,Short Rains,1.22843842
GARISSA,FAFI,Maize,Short Rains,0.725457735
GARISSA,GARISSA,Maize,Short Rains,0.4988945
GARISSA,HULUGHO,Maize,Short Rains,0.93572139
GARISSA,IJARA,Maize,Short Rains,0.63275873
GARISSA,LAGDERA,Maize,Short Rains,0.25683647
WAJIR,BUNA,Maize,Short Rains,2.18595773
WAJIR,ELDAS,Maize,Short Rains,1.4357871
WAJIR,HABASWEIN,Maize,Short Rains,0.976771374
WAJIR,TARBAJ,Maize,Short Rains,0.52484977
WAJIR,WAJIR EAST,Maize,Short Rains,0.736572432
WAJIR,WAJIR NORTH,Maize,Long Rains,1.1654176
WAJIR,WAJIR SOUTH,Maize,Short Rains,1.1772852
WAJIR,WAJIR WEST,Maize,Short Rains,1.46926641
MANDERA,BANISA,Maize,Short Rains,1.691337181
MANDERA,KOTULO,Maize,Short Rains,1.31699367
MANDERA,LAFEY,Maize,Short Rains,1.491979698
MANDERA,MANDERA CENTRAL,Maize,Short Rains,1.63256655
MANDERA,MANDERA EAST,Maize,Long Rains,0.93495
MANDERA,MANDERA NORTH,Maize,Long Rains,1.9291986
MARSABIT,LOIYANGALANI,Maize,Long Rains,4.7682386
MARSABIT,MARSABIT CENTRAL,Maize,Long Rains,5.37686621
MARSABIT,MARSABIT NORTH,Maize,Long Rains,16.6417724
MARSABIT,MARSABIT SOUTH,Maize,Long Rains,0.9538364
MARSABIT,MOYALE,Maize,Long Rains,4.134135715
MARSABIT,NORTH HORR,Maize,Long Rains,0.255693316
SOLOLO,ISIOLO,Maize,Long Rains,0.7653932
SOLOLO,GARBATULLA,Maize,Long Rains,0.61366131
SOLOLO,ISIOLO,Maize,Long Rains,0.86928899
SOLOLO,MERTI,Maize,Long Rains,1.2614264
MERU,BUURI EAST,Maize,Long Rains,2.32895823
MERU,BUURI WEST,Maize,Long Rains,1.328158114
MERU,IGEMBE CENTRAL,Maize,Long Rains,5.21772755
MERU,IGEMBE NORTH,Maize,Long Rains,18.7669817
MERU,IGEMBE SOUTH,Maize,Long Rains,1.96595745
MERU,IMENTI NORTH,Maize,Long Rains,1.8788632
MERU,IMENTI SOUTH,Maize,Long Rains,1.19987822
MERU,MERU CENTRAL,Maize,Long Rains,1.432592497
MERU,TIGANIA CENTRAL,Maize,Long Rains,2.463285952
MERU,TIGANIA EAST,Maize,Long Rains,4.9381433
MERU,TIGANIA WEST,Maize,Long Rains,5.28947285
MERU,MT  KENYA FOREST,Maize,Long Rains,3.81173374
THARAKA..NITHI,IGAMBANGOMBE,Maize,Long Rains,3.17624747
THARAKA..NITHI,MAARA,Maize,Long Rains,2.17867148
THARAKA..NITHI,MERU SOUTH,Maize,Long Rains,5.291837
THARAKA..NITHI,THARAKA NORTH,Maize,Long Rains,3.918292974
THARAKA..NITHI,THARAKA SOUTH,Maize,Long Rains,2.25412515
THARAKA..NITHI,MT  KENYA FOREST,Maize,Long Rains,0.833333333
EMBU,EMBU EAST,Maize,Long Rains,4.19683425
EMBU,EMBU NORTH,Maize,Long Rains,2.726366791
EMBU,EMBU WEST,Maize,Long Rains,3.8655146
EMBU,MBEERESOUTH,Maize,Long Rains,4.199135
EMBU,MBEERE NORTH,Maize,Short Rains,3.97469929
KITUI,IKUTHA,Maize,Long Rains,7.18559356
KITUI,KATULANI,Maize,Long Rains,11.64976
KITUI,KISASI,Maize,Long Rains,14.9558553
KITUI,KITUI CENTRAL,Maize,Long Rains,11.6233244
KITUI,KITUI WEST,Maize,Long Rains,19.13159171
KITUI,KYUSO,Maize,Long Rains,6.199597367
KITUI,LOWER YATTA,Maize,Long Rains,6.7615292
KITUI,MATINYANI,Maize,Long Rains,9.6594655
KITUI,MIGWANI,Maize,Long Rains,17.7113174
KITUI,MUMONI,Maize,Long Rains,9.796118783
KITUI,MUTITU,Maize,Long Rains,8.17683435
KITUI,MUTITU NORTH,Maize,Short Rains,14.718745
KITUI,MUTOMO,Maize,Short Rains,9.8658128
KITUI,MWINGI CENTRAL,Maize,Short Rains,7.45816471
KITUI,MWINGI EAST,Maize,Short Rains,1.64385745
KITUI,NZAMBANI,Maize,Short Rains,7.93278465
